lrk_id;type_oko;opc;actuele_naam_oko;aantal_kindplaatsen;ve;status;inschrijfdatum;opvanglocatie_adres;opvanglocatie_postcode;opvanglocatie_woonplaats;bag_id;naam_houder;kvk_nummer_houder;vestigingsnummer_houder;rechtsvorm_houder;start_geschillencommissie;einde_geschillencommissie;houder_adres;houder_postcode;houder_woonplaats;houder_buitenland;correspondentie_adres;correspondentie_postcode;correspondentie_woonplaats;correspondentie_buitenland;contact_persoon;contact_telefoon;contact_emailadres;contact_website;cbs_code;verantwoordelijke_gemeente;gastouderbureau_1;gastouderbureau_2;gastouderbureau_3;gastouderbureau_4;gastouderbureau_5;gastouderbureau_6;gastouderbureau_7;gastouderbureau_8;gastouderbureau_9;gastouderbureau_10;lrk_url
100075964;BSO;Nee;Prokino Villa Vrolijk BSO;70;;Ingeschreven;01-01-2010;Watergoorweg 44a ;3861MA;Nijkerk;0267010000000918;Stichting Prokino Kinderopvang;34162208;000026208466;Stichting;2016-01-12;;Diemermere 13 ;1112TB;Diemen;;;;;;Regiomanager;'088-2330000';lrk@prokino.nl;http://www.prokino.nl;267;Nijkerk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ec32fd28-58df-4e28-ba63-0cc1bda908ea
100077122;VGO;Nee;Kinderopvang Ieniemini;6;;Ingeschreven;28-04-2010;Hamburgerweg 119 ;3851EJ;Ermelo;0233010000006471;Verweij;;;;;;;;;;;;;;;'';;;233;Ermelo;134438929;161848060;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/1bd3a931-fa38-41af-90ca-964ab9351032
100079271;BSO;Nee;MP Atelier;10;;Ingeschreven;23-12-2015;Newtonstraat 50 ;1171XH;Badhoevedorp;0394010000334572;Vecht;64193144;000033040443;Eenmanszaak;2016-01-14;;;;;;;;;;O.M. van der Vecht;'0650471632';ocella@mpatelier.nl;http://www.mpatelier.nl;394;Haarlemmermeer;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/25fc050f-7096-4cda-b8e3-4fddee0ea88b
100079623;BSO;Nee;Happy Kids;60;;Ingeschreven;01-10-2013;Rubenslaan 16 ;3925VB;Scherpenzeel;0279010000003768;Happy Kids Scherpenzeel B.V.;09130037;000018326080;BeslotenVennootschap;2015-12-16;;Rubenslaan 16 ;3925VB;Scherpenzeel;;Postbus 874;7301BC;Apeldoorn;;Simone Loohuizen;'0332588586';info@happykids.info;http://www.happykids.info;279;Scherpenzeel;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/38e403b4-c062-4709-9074-c1f98e9fa2b6
100083146;BSO;Nee;Sportwereld Pellikaan;90;;Ingeschreven;06-01-2023;De Tolstaak 1 ;5051NX;Goirle;0785010000001996;Mondiaen Kinderopvang B.V.;87453738;000087453738;Besloten Vennootschap;2022-10-23;;Ringbaan-Oost 240 ;5018HC;Tilburg;;;;;;Nick Verzijl;'0644451263';nick.verzijl@mondiaen.nl;http://sportwereld-pellikaan.nl;785;Goirle;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/d96d6dbf-f5e4-471b-b5e7-26fd6a632572
100098009;VGO;Nee;D. van der Stokker;6;;Ingeschreven;01-10-2024;Lindehof Z 68 ;5521EE;Eersel;0770010000006468;Stokker;;;;;;;;;;;;;;D. van der Stokker;'0612687997';daniellevanderstokker@gmail.com;;770;Eersel;900644862;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/89dcf9c3-0fec-4abf-9f85-9f60a93077c5
100100314;VGO;Nee;Hathie;6;;Ingeschreven;30-04-2026;Kreek 14 ;3206HK;Spijkenisse;0612010000016480;Hathie;;;;;;;;;;;;;;;'';;;1930;Nissewaard;146575891;510383154;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ccae9344-8128-4898-9739-f98f56ea997b
100113254;KDV;Nee;De Wegwijzer;32;Ja;Ingeschreven;14-07-2011;Molenstraat 1 ;6645BR;Winssen;0209010000011674;KION Kinderopvang B.V.;09166969;000056648626;Besloten Vennootschap;2016-02-01;;Postbus 66;6500AB;Nijmegen;;Postbus 66;6500AB;Nijmegen;;;'0242053330';info@kion.nl;http://www.kion.nl;209;Beuningen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/c5a9a0ef-cfd1-4c55-9599-66c84124b9bd
100123582;BSO;Nee;Club Basker - OBS Anne Frank;40;;Ingeschreven;01-01-2010;Zuster Meijboomstraat 2 ;2331PD;Leiden;0546010000003980;Basker kinderopvang B.V.;30278497;000047135220;Besloten Vennootschap;2016-01-01;;Postbus 50;3430AB;Nieuwegein;;;;;;Basker;'030-6047599';kwaliteit@babilou-family.nl;https://www.Basker.nl;546;Leiden;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/817207f8-573c-47ad-8ea9-26f851b37ae8
100137854;VGO;Nee;Rietrae;6;;Ingeschreven;07-12-2010;Pater Hubertuscour 5 ;6166ZA;Geleen;1883010000040331;Rietrae;;;;;;;;;;;;;;;'';;;1883;Sittard-Geleen;175853319;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6894ff23-8d66-4f50-94aa-40351a15bc7f
100163038;VGO;Nee;Gorter van Wijk;6;;Ingeschreven;08-09-2015;Molenstraat 62 ;6657BX;Boven-Leeuwen;0668010000004866;Gorter van Wijk;;;;;;;;;;;;;;;'';;;668;West Maas en Waal;221793513;285546582;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ae1bc688-49d5-42b6-a50e-bc9f7666ae47
100166283;VGO;Nee;W. Geldof-de Kok;6;;Ingeschreven;31-01-2014;Michaelsdreef 5 ;4335BH;Middelburg;0687010000017387;Geldof-de Kok;;;;;;;;;;;;;;;'';;;687;Middelburg;132639531;333485932;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/8bb9fe53-d330-4f31-a613-1b685fd0fc45
100166714;VGO;Nee;Sørensen;5;;Ingeschreven;09-02-2017;Waalbandijk 2 ;6669MA;Dodewaard;1740010000013131;Sørensen;;;;;;;;;;;;;;;'';;;1740;Neder-Betuwe;221881888;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f273e8df-841b-4aca-9a87-bf131b0d7a71
100167937;KDV;Nee;Diedeltje Dei B.V.;16;Nee;Ingeschreven;03-12-2020;De Sânjes 4 ;9269HA;Feanwâlden;1891010001664751;Diedeltje Dei B.V.;90581636;000034953175;Besloten Vennootschap;2023-11-10;;De Sânjes 4a ;9269HA;Feanwâlden;;Ds. J.W.B. Cohenstraat 14 ;9103PT;Dokkum;;mevr. A. Faber;'+31 0611432828';info@diedeltjedei.nl;https://diedeltjedei.nl;1891;Dantumadiel;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/c959c049-5e71-4bb0-9951-aba9084e27f8
100182094;VGO;Nee;Kins Ammerlaan;6;;Ingeschreven;20-01-2020;Stationsstraat 42 ;2405BN;Alphen aan den Rijn;0484010000021020;Kins Ammerlaan;;;;;;;;;;;;;;;'';;;484;Alphen aan den Rijn;837471126;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/aee759d9-3a16-4a0e-bb33-4455de4b5742
100184686;VGO;Nee;Wiericx;6;;Ingeschreven;28-02-2011;Moerasberg 45 ;4708NK;Roosendaal;1674010000080320;Wiericx;;;;;;;;;;;;;;;'';;;1674;Roosendaal;206278421;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a56b1054-7339-4a76-af74-6c3bb0bdeca5
100186233;VGO;Nee;Hazekamp;6;;Ingeschreven;05-12-2017;Regulus 30 ;2221MT;Katwijk;0537010000003854;Hazekamp;;;;;;;;;;;;;;;'';;;537;Katwijk;755893530;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/50bc13b0-a005-4ad5-b57c-b375058aee00
100187833;VGO;Nee;Langelaar;6;;Ingeschreven;25-08-2022;Bruinhorsterlaan 84 ;3925EZ;Scherpenzeel;0279010000000631;Langelaar;;;;;;;;;;;;;;;'';;;279;Scherpenzeel;131102369;901610963;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/4bc8c083-1cf7-440b-80fa-41d13011a15d
100200321;VGO;Nee;Gasthuis 'Tante Lies';6;;Ingeschreven;07-07-2010;Klaproosstraat 40 ;7731WG;Ommen;0175010000007052;Zandbergen;;;;;;;;;;;;;;;'';;;175;Ommen;160012351;857358327;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/3670313e-82f0-4f2d-a419-edd595163a57
100202342;BSO;Nee;Odaschool BSO;20;;Ingeschreven;01-03-2017;Laan ten Bogaerde 7 ;5491GC;Sint-Oedenrode;0846010000004041;De Verbinding B.V.;50168223;000036448656;Besloten Vennootschap;2016-01-25;;Pearl S. Buckstraat 1 ;5491DG;Sint-Oedenrode;;;;;;W.G. Van den Biggelaar;'0413-782142';ingrid@kcdeverbinding.nl;http://www.deverbinding-sintoedenrode.nl;1948;Meierijstad;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/3ca5bf31-49ac-4cc7-a41a-4b575639c389
100205082;KDV;Nee;Molentje;16;Nee;Ingeschreven;26-10-2020;Sint Cornelisstraat 14 ;5827AL;Vortum-Mullem;0756010000008698;Stichting Spring Kinderopvang;41062125;;Stichting;2016-02-08;;Postbus 116;5830AC;Boxmeer;;;;;;Manager kindcentrum;'+31 0882088200';info@spring-kinderopvang.nl;http://www.spring-kinderopvang.nl;1982;Land van Cuijk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/5ecd5bc6-6524-4735-ab7a-f0fc7ca5f184
100219937;GOB;Nee;ViaViela Bibische van Zweeden;;;Ingeschreven;01-01-2010;Soestdijk 26 ;1787DV;Julianadorp;0400010000043848;Zweeden;75941651;000043784887;Eenmanszaak;2020-02-01;;;;;;Soestdijk 26 ;1787DV;Julianadorp;;Bibische van Zweeden;'06-47049569';b.vanzweeden@viaviela.nl;http://www.viaviela.nl;400;Den Helder;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/4ea37b56-9bea-451b-a358-5f723e13e23c
100227417;VGO;Nee;Riele;6;;Ingeschreven;18-10-2010;Molenbelt 47 ;7413XE;Deventer;0150010000051540;Riele;;;;;;;;;;;;;;;'';;;150;Deventer;132522895;185791578;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/af1b3d2e-c434-4c8e-a30c-dc6c8abf3e69
100236935;KDV;Nee;Kinderdagverblijf de Koningsbeer b.v.;28;Nee;Ingeschreven;01-01-2022;Raadhuisstraat 5 ;5126CK;Gilze;0784010000001512;De Koningsbeer B.V.;82523770;000050753851;Besloten Vennootschap;2021-07-15;;Goirleseweg 3 ;5133BC;Riel;;Raadhuisstraat 5 ;5126CK;Gilze;;Marlies de Beer;'06-21199171';info@dekoningsbeer.nl;http://www.dekoningsbeer.nl;784;Gilze en Rijen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/dd8cdf5c-b65f-42ae-9673-4d60b83c9176
100242418;VGO;Nee;Minke van der West;6;;Ingeschreven;27-03-2026;Moark 26 ;9269MB;Feanwâlden;1891010001652502;West;;;;;;;;;;;;;;;'';;;1891;Dantumadiel;402222830;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/af79dd84-2516-411c-9b39-dacbd9ee4c26
100242558;KDV;Nee;KDV IKC Anne Frankschool;44;Ja;Ingeschreven;02-06-2014;K.P.-laan 20 ;7943CV;Meppel;0119010000011039;Stichting WIES Kinderopvang;59510099;000039684970;Stichting;2016-01-21;;Blankenstein 130 ;7943PE;Meppel;;;;;;Heerco Riemer;'0522 726800';directie@pluskinderopvang.nl;;119;Meppel;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/11bde136-bd57-423c-9c04-06d112426c07
100248640;KDV;Nee;2 Voices-Parkside;52;Nee;Ingeschreven;01-01-2010;Zocherstraat 68 ;1054MA;Amsterdam;0363010000880162;2 Voices B.V.;55449417;000000017256;BV;2015-12-03;;Cornelis Anthoniszstraat 20 hs;1071VT;Amsterdam;;Zocherstraat 68 ;1054MA;Amsterdam;;A. Cox / H. Philippart;'020-6185132';2voices@xs4all.nl;http://www.2voices.net;363;Amsterdam;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/b6179466-967c-47f5-a478-14427e97c592
100253489;KDV;Nee;Partou KDV Van der Hoopstraat 84;32;Nee;Ingeschreven;01-01-2010;van der Hoopstraat 84 ;1945TT;Beverwijk;0375010000018709;Partou B.V.;30225440;000044347634;Besloten Vennootschap;2015-12-29;;Postbus 396;4130EJ;Vianen;;Postbus 396;4130EJ;Vianen;;Regiosecretariaat;'0882357550';regiosecretariaat@partou.nl;http://www.partou.nl;375;Beverwijk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/e17b7fce-0834-4d48-a98f-684e829c5d54
100255413;VGO;Nee;Ides;6;;Ingeschreven;01-04-2020;Stuyvesantstraat 26 ;1403XM;Bussum;0381010000037575;Ides;;;;;;;;;;;;;;;'';;;1942;Gooise Meren;146575891;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ed32dc22-5eef-49c9-8306-c291d11649d7
100262442;VGO;Nee;Cornelissen;6;;Ingeschreven;11-06-2024;Opvang bij de vraagouder;;;;Cornelissen;;;;;;;;;;;;;;;'';;;228;Ede;561668085;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/24efd6fe-b26e-4846-827e-437d216280d5
100278280;KDV;Nee;KDV het Kabouterhuis;14;Nee;Ingeschreven;01-01-2010;Iepenlaan 22 ;3862VJ;Nijkerk;0267010000009489;Kinderdagverblijf Het Kabouterhuis;08065465;;Onbekend;2016-01-06;;Iepenlaan 22 ;3862VJ;Nijkerk;;Iepenlaan 22 ;3862VJ;Nijkerk;;Mevr. E. Nijhof en E. Trap;'033-2462116';info@kinderdagverblijfhetkabouterhuis.nl;http://www.kinderdagverblijfhetkabouterhuis.nl;267;Nijkerk;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/26a14720-f12a-41f1-a70f-f95c1501fa77
100281758;VGO;Nee;Borgschot;6;;Ingeschreven;01-10-2021;De Sitterstraat 198 ;3318AD;Dordrecht;0505010000053582;Borgschot;;;;;;;;;;;;;;;'';;;505;Dordrecht;160012351;214624079;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/f85f0f24-edc5-4790-aed4-10a7a2585bf5
100294881;KDV;Nee;Zo aan de Buitenhof;16;Ja;Ingeschreven;05-01-2021;Van Rijslaan 8 ;2625KX;Delft;0503010000019692;Zo Kinderopvang in Delft B.V.;61143464;000037536311;Besloten Vennootschap;2015-12-03;;Palmyraplaats 2 ;2624NN;Delft;;Leeghwaterplein 45 ;2521DB;'s-Gravenhage;;Diana de Graaff;'0653853402';ddegraaff@zokinderopvang.nl;http://www.zokinderopvang.nl;503;Delft;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6d831ba1-892c-46d4-a9d8-0935a548d2a2
100312548;VGO;Nee;I. Jager Slijfer;6;;Ingeschreven;17-12-2018;Begoniastraat 69 ;7906JB;Hoogeveen;0118010000005189;Jager Slijfer;;;;;;;;;;;;;;;'';;;118;Hoogeveen;181991639;195998261;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a1c80948-c260-4bce-8e06-1c984d50397c
100319853;KDV;Nee;Gulliver;47;Ja;Ingeschreven;01-01-2010;Panamaplein 21 ;2548HJ;'s-Gravenhage;0518010000617906;gro-up Kinderopvang B.V.;41135920;;Besloten Vennootschap;2016-05-13;;Postbus 85014;3009MA;Rotterdam;;Postbus 85014;3009MA;ROTTERDAM;;Klantcontact;'010-286 2777';klantcontact@gro-up.nl;http://www.gro-up.nl;518;'s-Gravenhage;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/86fba36b-4f4c-48f2-9b00-7a53283a4650
100336498;BSO;Nee;Kindcentrum Mio Mondo buitenschoolse opvang;94;;Ingeschreven;16-04-2015;Burgemeester Haspelslaan 137 ;1181NC;Amstelveen;0362010100091177;Stichting KinderRijk;41202080;000019291485;Stichting;2016-01-20;;Postbus 2027;1180EA;Amstelveen;;;;;;;'0203452657';info@kinderrijk.nl;;362;Amstelveen;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/8fb0923f-c721-4b00-90dc-e38e4b6dd39a
100375534;BSO;Nee;BSO All Stars;41;;Ingeschreven;01-06-2025;Espelerlaan 80 ;8302DC;Emmeloord;0171010000033920;Stichting Kinderopvang Noordoostpolder;41246291;000063448998;Stichting;2015-12-22;;Europalaan 40A ;8303GJ;Emmeloord;;Espelerlaan 80 ;8302DC;Emmeloord;;K.A. van Dorp;'0527620813';info@sknop.nl;http://www.sknop.nl;171;Noordoostpolder;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/4f6e7ac3-da89-4488-932f-f86c788a9b6a
100376605;VGO;Nee;Nijs-Lenaers;6;;Ingeschreven;27-09-2010;Braakstraat 32 ;6004CX;Weert;0988010000006027;Nijs-Lenaers;;;;;;;;;;;;;;;'';;;988;Weert;476474085;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a26555a3-87bd-49e2-b71e-f477d0328d5d
100392404;KDV;Nee;Norlandia Kinderopvang De Noordster;32;Nee;Ingeschreven;01-01-2010;Aletta Jacobsplantsoen 101 ;2253RP;Voorschoten;0626010000000753;Norlandia kinderopvang B.V.;28101864;000025424769;BeslotenVennootschap;2016-01-20;;Hondiuslaan 40 ;3528AB;Utrecht;;;;;;Pedagogiek en Kwaliteit;'0303030624';pedagogiekkwaliteit@norlandia.com;https://www.norlandia.nl/de-noordster-kinderopvang;626;Voorschoten;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6a4c3212-93fb-44d5-bc18-01310a9bce0b
100397591;KDV;Nee;Peuterwereld De Lochtenbergh;32;Ja;Ingeschreven;01-10-2005;Perosistraat 150 ;5049LP;Tilburg;0855010000101809;Mondiaen Kinderopvang B.V.;87453738;000031815154;Besloten Vennootschap;2022-10-23;;Ringbaan-Oost 240 ;5018HC;Tilburg;;Ringbaan-Oost 240 ;5018HC;Tilburg;;Susan Smits;'06-82872282';Susan.smits@mondiaen.nl;http://www.kindercreche.nl;855;Tilburg;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/ed06c5d7-4e91-485f-aee2-eb9f8fc8b497
100436250;BSO;Nee;De Klimroos;60;;Ingeschreven;23-08-2010;Karekietpark 26 ;1444HV;Purmerend;0439010000023863;Stichting Kinderopvang Purmerend (SKOP);41235528;000032568010;Stichting;2015-12-18;;Postbus 243;1440AE;Purmerend;;Postbus 243;1440AE;PURMEREND;;;'';;http://www.kinderopvangpurmerend.nl;439;Purmerend;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/6e733e96-deea-4f2b-b49b-40b6157fd094
100467325;VGO;Nee;H.M. van Putten;4;;Ingeschreven;17-10-2024;Opvang bij de vraagouder;;;;Putten;;;;;;;;;;;;;;;'';;;599;Rotterdam;117383521;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/8fa93830-ffff-474f-b14a-d6e9afeabf0e
100536529;KDV;Nee;Kinderdagverblijf De Kleine Reus;48;Nee;Ingeschreven;01-01-2010;Klokkengieterlaan 3 ;8043BA;Zwolle;0193010000099041;De Kleine Reus BV;05074052;;BV;2015-12-22;;Veldbeemdgras 46 ;8043KE;Zwolle;;Klokkengieterlaan 3 ;8043BA;Zwolle;;;'0384651340';;;193;Zwolle;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/7ae74d94-6b37-4dc8-9901-2b208d9ab366
100538228;KDV;Nee;Elorah Nunspeet;32;Ja;Ingeschreven;15-06-2017;Jan van Vuurenstraat 13 ;8072ZJ;Nunspeet;0302010000007130;Stichting Kibeo;22049355;000062414143;Stichting;2016-01-25;;Postbus 328;4460AS;Goes;;;;;;Afdeling Facilitair;'0113-760200';info@kibeo.nl;https://www.kibeo.nl/;302;Nunspeet;;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/140d1cee-1441-4ede-be8b-e240eaf282d6
100562802;VGO;Nee;Smitshoek Catsburg;6;;Ingeschreven;18-08-2023;Acacialaan 4 ;3886AG;Garderen;0203010000377709;Smitshoek Catsburg;;;;;;;;;;;;;;;'';;;203;Barneveld;131102369;;;;;;;;;;https://www.landelijkregisterkinderopvang.nl/pp/#/inzien/oko/gegevens/a34b8f3e-4e50-4b98-b122-95940c4b34d1
